subitem_1551255647225,subitem_title
subitem_1551255648112,subitem_title_language
subitem_1551255720400,subitem_alternative_title
subitem_1551255721061,subitem_alternative_title_language
subitem_1551255789000,nameIdentifiers
subitem_1551255793478,nameIdentifier
subitem_1551255794292,nameIdentifierScheme
subitem_1551255795486,nameIdentifierURI
subitem_1551255898956,creatorNames
subitem_1551255905565,creatorName
subitem_1551255907416,creatorNameLang
subitem_1551255929209,familyNames
subitem_1551255938498,familyName
subitem_1551255964991,familyNameLang
subitem_1551255991424,givenNames
subitem_1551256006332,givenName
subitem_1551256007414,givenNameLang
subitem_1551256025394,creatorAlternatives
subitem_1551256035730,creatorAlternative
subitem_1551256055588,creatorAlternativeLang
subitem_1551256087090,creatorAffiliations
subitem_1551256089084,affiliationNameIdentifiers
subitem_1551256097891,affiliationNameIdentifier
subitem_1551256145018,affiliationNameIdentifierScheme
subitem_1551256147368,affiliationNameIdentifierURI
subitem_1551256229037,affiliationNames
subitem_1551256259183,affiliationName
subitem_1551256259899,affiliationNameLang
subitem_1551257036415,contributorType
subitem_1551257150927,nameIdentifiers
subitem_1551257152742,nameIdentifier
subitem_1551257172531,nameIdentifierScheme
subitem_1551257228080,nameIdentifierURI
subitem_1551257245638,contributorNames
subitem_1551257276108,contributorName
subitem_1551257279831,lang
subitem_1551257272214,familyNames
subitem_1551257314588,familyName
subitem_1551257316910,familyNameLang
subitem_1551257339190,givenNames
subitem_1551257342360,givenName
subitem_1551257343979,givenNameLang
subitem_1551257372442,contributorAlternatives
subitem_1551257374288,contributorAlternative
subitem_1551257375939,contributorAlternativeLang
subitem_1551257419251,contributorAffiliations
subitem_1551257421633,contributorAffiliationNameIdentifiers
subitem_1551261472867,contributorAffiliationNameIdentifier
subitem_1551261485670,contributorAffiliationScheme
subitem_1551261493409,contributorAffiliationURI
subitem_1551261534334,contributorAffiliationNames
subitem_1551261542403,contributorAffiliationName
subitem_1551261546333,contributorAffiliationNameLang
subitem_1551257553743,subitem_access_right
subitem_1551257578398,subitem_access_right_uri
subitem_1551257776901,subitem_apc
subitem_1602213569986,subitem_text_value
subitem_1602213570623,subitem_text_language
subitem_1551257043769,subitem_rights
subitem_1551257047388,subitem_rights_language
subitem_1551257030435,subitem_rights_resource
subitem_1551257143244,nameIdentifiers
subitem_1551257145912,nameIdentifier
subitem_1551257156244,nameIdentifierScheme
subitem_1551257232980,nameIdentifierURI
subitem_1551257249371,rightHolderNames
subitem_1551257255641,rightHolderName
subitem_1551257257683,rightHolderLanguage
subitem_1551257315453,subitem_subject
subitem_1551257323812,subitem_subject_language
subitem_1551257329877,subitem_subject_scheme
