Index,WEKO_ID,_id
agu_repo_nii_ac_jp-authors-author-v1.0.0,1,i01KH4gBVAdTI8cG5MM9
agu_repo_nii_ac_jp-authors-author-v1.0.0,2,jE1KH4gBVAdTI8cG5MNn
agu_repo_nii_ac_jp-authors-author-v1.0.0,6,jU1KH4gBVAdTI8cG5MNs
agu_repo_nii_ac_jp-authors-author-v1.0.0,8,jk1KH4gBVAdTI8cG5MNx
agu_repo_nii_ac_jp-authors-author-v1.0.0,10,j01KH4gBVAdTI8cG5MN2
agu_repo_nii_ac_jp-authors-author-v1.0.0,11,kE1KH4gBVAdTI8cG5MN7
agu_repo_nii_ac_jp-authors-author-v1.0.0,13,kU1KH4gBVAdTI8cG5MOA
agu_repo_nii_ac_jp-authors-author-v1.0.0,15,kk1KH4gBVAdTI8cG5MOF
agu_repo_nii_ac_jp-authors-author-v1.0.0,16,k01KH4gBVAdTI8cG5MOK
agu_repo_nii_ac_jp-authors-author-v1.0.0,17,lE1KH4gBVAdTI8cG5MOP
agu_repo_nii_ac_jp-authors-author-v1.0.0,21,lU1KH4gBVAdTI8cG5MOT
agu_repo_nii_ac_jp-authors-author-v1.0.0,25,lk1KH4gBVAdTI8cG5MOY
asahi_u_repo_nii_ac_jp-authors-author-v1.0.0,1,dGQl6IgBWMCbSkhyqfT3
asahi_u_repo_nii_ac_jp-authors-author-v1.0.0,2,dWQl6IgBWMCbSkhyqvQV
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,1,GN-8H4gBAOlgAxXoULSd
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,2,Gd-8H4gBAOlgAxXoULS9
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,3,Gt-8H4gBAOlgAxXoULTC
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,4,G9-8H4gBAOlgAxXoULTH
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,5,HN-8H4gBAOlgAxXoULTL
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,6,Hd-8H4gBAOlgAxXoULTQ
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,7,Ht-8H4gBAOlgAxXoULTV
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,8,H9-8H4gBAOlgAxXoULTa
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,9,IN-8H4gBAOlgAxXoULTg
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,10,Id-8H4gBAOlgAxXoULTl
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,11,It-8H4gBAOlgAxXoULTq
asia_u_repo_nii_ac_jp-authors-author-v1.0.0,12,I9-8H4gBAOlgAxXoULTv
chubu_gu_repo_nii_ac_jp-authors-author-v1.0.0,1,0NlC04gBtOu0YR7ukv2a
chubu_gu_repo_nii_ac_jp-authors-author-v1.0.0,2,0dlC04gBtOu0YR7ukv3S
chukyogakuin_repo_nii_ac_jp-authors-author-v1.0.0,1,Y0pOH4gBD0fTbJYqatR7
chukyogakuin_repo_nii_ac_jp-authors-author-v1.0.0,3,ZEpOH4gBD0fTbJYqatSj
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,1,b0GgHogBCCHNscNH91fG
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,2,cEGgHogBCCHNscNH91fz
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,3,cUGgHogBCCHNscNH91f7
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,4,ckGgHogBCCHNscNH-FcC
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,5,c0GgHogBCCHNscNH-FcJ
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,6,dEGgHogBCCHNscNH-FcR
fujita_hu_repo_nii_ac_jp-authors-author-v1.0.0,7,dUGgHogBCCHNscNH-FcY
hirosaki_repo_nii_ac_jp-authors-author-v1.0.0,1,zSieHogBGuQG0JasZNg6
hirosaki_repo_nii_ac_jp-authors-author-v1.0.0,2,ziieHogBGuQG0JasZNhd
hirosaki_repo_nii_ac_jp-authors-author-v1.0.0,3,zyieHogBGuQG0JasZNhi
hirosaki_repo_nii_ac_jp-authors-author-v1.0.0,4,0CieHogBGuQG0JasZNhm
